epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.97708,1.34706,3.92487,1.00014,0,0,0,0,0.50217,3.78545,0.8233,0,0,0
2,14.9803,1.473,3.97839,0.9948,0,0,0,0,0.47347,3.76878,0.82037,1.40071e-05,1.40071e-05,1.40071e-05
3,22.2293,1.34422,4.00745,0.96025,0,0,0,0,0.42778,3.73713,0.81188,2.74482e-05,2.74482e-05,2.74482e-05
4,29.27,1.05554,3.85151,0.91024,0,0,0,0,0.40166,3.70559,0.80796,4.03235e-05,4.03235e-05,4.03235e-05
5,36.152,0.88369,3.61768,0.89397,0,0,0,0,0.52498,3.71102,0.81305,5.26329e-05,5.26329e-05,5.26329e-05
6,43.0819,0.72049,3.47802,0.83893,0,0,0,0,0.7499,3.70472,0.82678,6.43764e-05,6.43764e-05,6.43764e-05
7,50.1135,0.75547,3.34658,0.85032,0,0,0,0,0.90901,3.70149,0.84441,7.55541e-05,7.55541e-05,7.55541e-05
8,56.4806,0.856,3.17679,0.84613,0,0,0,0,0.96812,3.69249,0.8529,8.61658e-05,8.61658e-05,8.61658e-05
9,63.704,0.93258,2.98989,0.84855,0.00664,0.33333,0.00554,0.00388,0.94796,3.67382,0.85199,9.62117e-05,9.62117e-05,9.62117e-05
10,70.6167,0.88025,2.73437,0.83632,0.00169,0.08333,0.00099,0.00079,0.85577,3.64098,0.84084,0.000105692,0.000105692,0.000105692
11,77.5022,0.86421,2.54625,0.81704,0.00334,0.05882,0.02918,0.00637,0.72063,3.605,0.82697,0.000114606,0.000114606,0.000114606
12,84.3398,0.7116,2.11557,0.85841,0.01167,0.20588,0.03509,0.02304,0.6106,3.56557,0.81553,0.000122954,0.000122954,0.000122954
13,91.6588,0.71678,2.09479,0.82276,0.02314,0.62745,0.04539,0.03236,0.5523,3.53193,0.8065,0.000130736,0.000130736,0.000130736
14,98.8853,0.74139,1.84092,0.82615,0.02586,0.79412,0.04987,0.03342,0.53246,3.48676,0.8016,0.000137953,0.000137953,0.000137953
15,105.699,0.71285,1.82144,0.81121,0.02608,0.79412,0.05003,0.03379,0.52909,3.43213,0.80011,0.000144603,0.000144603,0.000144603
16,112.34,0.6937,1.57836,0.82109,0.02785,0.82353,0.10676,0.07994,0.53538,3.3686,0.79829,0.000150688,0.000150688,0.000150688
17,118.947,0.67533,1.5337,0.81502,0.01687,0.61765,0.30131,0.24643,0.56789,3.30438,0.79895,0.000156207,0.000156207,0.000156207
18,126.196,0.67451,1.43593,0.82213,0.01687,0.61765,0.30131,0.24643,0.56789,3.30438,0.79895,0.00016116,0.00016116,0.00016116
19,133.509,0.6769,1.49122,0.80033,0.03333,0.91176,0.6013,0.47591,0.58847,3.22866,0.79947,0.000165547,0.000165547,0.000165547
20,140.171,0.63925,1.34168,0.8006,0.03333,0.91176,0.6013,0.47591,0.58847,3.22866,0.79947,0.000169368,0.000169368,0.000169368
21,146.933,0.64308,1.46118,0.81112,0.03878,1,0.81081,0.63165,0.5767,3.15053,0.7948,0.000172623,0.000172623,0.000172623
22,153.448,0.66165,1.31514,0.83757,0.03878,1,0.81081,0.63165,0.5767,3.15053,0.7948,0.000175313,0.000175313,0.000175313
23,160.517,0.70908,1.40545,0.8585,0.03956,1,0.83297,0.67764,0.56476,3.08377,0.79192,0.000177436,0.000177436,0.000177436
24,167.014,0.60502,1.25985,0.80952,0.03956,1,0.83297,0.67764,0.56476,3.08377,0.79192,0.000178994,0.000178994,0.000178994
25,174.278,0.62939,1.27215,0.81413,0.03935,1,0.86295,0.72782,0.53968,3.03266,0.78995,0.000179985,0.000179985,0.000179985
26,180.564,0.66045,1.41206,0.87344,0.03935,1,0.86295,0.72782,0.53968,3.03266,0.78995,0.000180411,0.000180411,0.000180411
27,187.68,0.61906,1.19616,0.82553,0.03851,1,0.89363,0.77019,0.53157,2.98435,0.78803,0.000180271,0.000180271,0.000180271
